# RELATÓRIOS ECONÔMICOS DOS ESTADOS UNIDOS

## VISÃO GERAL

Os dados econômicos dos EUA são os mais importantes do mundo para mercados globais, incluindo WDO e WIN. Abaixo está a lista completa organizada por categoria.

---

## 1. INFLAÇÃO

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
| **Tom em LINHA com decisão** | Sem novidade | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Tom mais DOVISH que decisão** | Fed mais aberto a cortes | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 15-45 min |

### Observações do Scalper:
- Defasado (3 semanas) – mercado já evoluiu
- Olhar divisões internas ("some participants", "a few participants")
- Discussão sobre QT (balanço) pode ser relevante

---

## 7.5 DOT PLOT (Summary of Economic Projections - SEP)
**Fonte:** Federal Reserve
**Divulgação:** Março, junho, setembro, dezembro (junto com decisão)
**Impacto:** ⚡⚡⚡ MÁXIMO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Dots ACIMA do esperado** (menos cortes) | Fed vê juros altos por mais tempo | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | Horas |
| **Dots em LINHA** | Sem surpresa | ⚪ Ver statement | ⚪ Ver statement | ⚪ Ver statement | ⚪ Ver statement | - |
| **Dots ABAIXO do esperado** (mais cortes) | Fed vê mais cortes | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | Horas |

### Observações do Scalper:
- Mediana para final do ano corrente é a mais importante
- Olhar também projeção de inflação (PCE) e desemprego
- Long-run rate (neutral rate) se mudar = muito importante
- Dispersão dos dots indica incerteza

---

## 7.6 BEIGE BOOK
**Fonte:** Federal Reserve
**Divulgação:** 2 semanas antes do FOMC, 14h00 ET
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Economia "forte", "robusto", "expandindo"** | Atividade aquecida | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 10-30 min |
| **Economia "moderada", "estável"** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Economia "fraca", "desacelerando", "incerteza"** | Atividade esfriando | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 10-30 min |

### Observações do Scalper:
- Relatório qualitativo (anedótico), não números
- Buscar palavras sobre: inflação, emprego, salários, crédito
- Prepara narrativa para o FOMC

---

## 7.7 FED SPEECHES (Powell, Waller, Williams, etc.)
**Fonte:** Federal Reserve
**Divulgação:** Irregular
**Impacto:** ⚡⚡ MÉDIO-ALTO (depende de quem fala)

### Hierarquia de importância:
1. **Powell** (Chair) – ⚡⚡⚡ Máximo
2. **Williams** (NY Fed, Vice) – ⚡⚡ Alto
3. **Waller** (Governor, hawkish) – ⚡⚡ Alto
4. **Jefferson** (Vice Chair) – ⚡⚡ Alto
5. **Outros Governors** – ⚡ Médio
6. **Regional Presidents (votantes)** – ⚡ Médio
7. **Regional Presidents (não votantes)** – 🐢 Baixo

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Comentário HAWKISH** | Membro preocupado com inflação | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 10-45 min |
| **Comentário NEUTRO** | Sem novidade | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Comentário DOVISH** | Membro aberto a cortes | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 10-45 min |

---

## 7.8 FED BALANCE SHEET
**Fonte:** Federal Reserve
**Divulgação:** Toda quinta-feira, 16h30 ET
**Impacto:** ⚡ BAIXO (a menos que haja surpresa)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Queda maior que esperada** | QT mais agressivo | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🐢 |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Queda menor ou expansão** | QT reduzindo / parando | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🐢 |

---

## 7.9 SENIOR LOAN OFFICER SURVEY (SLOOS)
**Fonte:** Federal Reserve
**Divulgação:** Trimestral, ~2 semanas antes do FOMC
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Standards APERTANDO muito** | Crédito contraindo → risco de recessão | 🟠 VENDA | 🔴 VENDA | 🟠 VENDA | 🔴 VENDA | 15-45 min |
| **Standards ESTÁVEIS** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Standards AFROUXANDO** | Crédito fluindo → economia forte | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 15-45 min |

### Observações do Scalper:
- Olhar demanda por crédito também
- Credit crunch pode antecipar recessão
- Fed usa muito para calibrar política

---

# 8. POLÍTICA FISCAL E DÍVIDA

## 8.1 TREASURY BUDGET (Monthly Budget Statement)
**Fonte:** Treasury
**Divulgação:** ~Dia 12-14 do mês, 14h00 ET
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Déficit MENOR que esperado** | Fiscal melhor | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 5-20 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Déficit MAIOR que esperado** | Fiscal pior → mais emissão de Treasuries | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 5-20 min |

---

## 8.2 TREASURY REFUNDING ANNOUNCEMENT
**Fonte:** Treasury
**Divulgação:** Trimestral (fevereiro, maio, agosto, novembro)
**Impacto:** ⚡⚡ ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Emissão MENOR que esperada** | Menos oferta de Treasuries | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 15-60 min |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Emissão MAIOR que esperada** | Mais oferta → pressão em yields | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 15-60 min |

### Observações do Scalper:
- Olhar composição: mais T-Bills (curto) ou mais Bonds (longo)?
- Mais emissão longa = pressão nos 10Y e 30Y
- Pode dominar mercado por dias

---

## 8.3 TREASURY AUCTIONS (2Y, 5Y, 10Y, 30Y)
**Fonte:** Treasury
**Divulgação:** Semanal/Mensal, geralmente 13h00 ET
**Impacto:** ⚡ MÉDIO (pode ser ALTO em momentos de stress)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Bid-to-Cover ALTO + Tail negativo** | Demanda forte por Treasuries | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **Bid-to-Cover NORMAL** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Bid-to-Cover BAIXO + Tail positivo** | Demanda fraca → yields sobem | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

### Observações do Scalper:
- **Tail** = diferença entre yield do leilão vs when-issued
  - Tail positivo = dealers tiveram que aceitar yield maior = demanda fraca
  - Tail negativo = demanda forte
- **Bid-to-Cover** = demanda total / oferta
  - > 2.5 = forte
  - < 2.0 = fraco
- Indirect Bidders (estrangeiros) e Direct Bidders importam

---

## 8.4 DEBT CEILING UPDATES
**Fonte:** Treasury / Congress
**Divulgação:** Irregular
**Impacto:** ⚡⚡⚡ MÁXIMO (quando relevante)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Acordo alcançado** | Risk-on, incerteza removida | 🟠 VENDA | 🟢 COMPRA forte | 🟠 VENDA | 🟢 COMPRA | Horas/Dias |
| **Impasse continua** | Incerteza, risk-off | 🔵/🟠 Misto | 🔴 VENDA | 🔵/🟠 Misto | 🔴 VENDA | Horas/Dias |
| **Default iminente** | Pânico, risk-off extremo | 🟢 Safe haven inicial, depois 🔴 | 🔴 VENDA forte | Caótico | 🔴 VENDA forte | Dias/Semanas |

---

# 9. INDICADORES DE CONFIANÇA E SURVEYS

## 9.1 NFIB SMALL BUSINESS OPTIMISM
**Fonte:** NFIB
**Divulgação:** 2ª terça-feira do mês, 6h00 ET
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Pequenas empresas otimistas | 🔵 COMPRA (leve) | 🔵 COMPRA | 🔵 COMPRA (leve) | 🔵 COMPRA | 5-20 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Pequenas empresas pessimistas | 🟠 VENDA (leve) | 🟠 VENDA | 🟠 VENDA (leve) | 🟠 VENDA | 5-20 min |

### Observações do Scalper:
- Subcomponentes: Hiring Plans, Capital Expenditure Plans
- "Single Most Important Problem" – se inflação cai/sobe
- Sai 6h ET – antes do mercado abrir

---

## 9.2 CFNAI (Chicago Fed National Activity Index)
**Fonte:** Chicago Fed
**Divulgação:** ~Dia 20-24 do mês, 8h30 ET
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA de 0** | Economia acima da tendência | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 5-15 min |
| **NA LINHA de 0** | Economia na tendência | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO de 0** | Economia abaixo da tendência | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 5-15 min |

### Observações do Scalper:
- 0 = tendência histórica
- CFNAI-MA3 (média de 3 meses) mais importante
- Se MA3 < -0.7 = sinal de recessão

---

# 10. ENERGIA E COMMODITIES

## 10.1 EIA CRUDE OIL INVENTORIES
**Fonte:** Energy Information Administration (EIA)
**Divulgação:** Toda quarta-feira, 10h30 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Build MAIOR que esperado** (mais estoque) | Demanda fraca / oferta forte → Oil cai | 🔵 COMPRA (leve) | ⚪/🟠 Energy stocks caem | 🔵 COMPRA (leve) | ⚪/🔵 (Petrobras cai) | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Draw MAIOR que esperado** (menos estoque) | Demanda forte → Oil sobe | 🟠 VENDA (leve) | ⚪/🔵 Energy stocks sobem | 🟠 VENDA (leve) | ⚪/🔵 (Petrobras sobe) | 10-30 min |

### Observações do Scalper:
- API (terça 16h30 ET) dá prévia
- Olhar também Gasoline e Distillates
- Cushing (hub de entrega do WTI) inventories importa
- Refinery Utilization afeta interpretação

---

## 10.2 API CRUDE OIL INVENTORIES
**Fonte:** American Petroleum Institute
**Divulgação:** Toda terça-feira, 16h30 ET (após fechamento)
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Build grande** | Prévia de EIA negativa para oil | ⚪/🔵 leve | ⚪ | ⚪/🔵 leve | ⚪ | Prepara para EIA |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Draw grande** | Prévia de EIA positiva para oil | ⚪/🟠 leve | ⚪ | ⚪/🟠 leve | ⚪ | Prepara para EIA |

---

## 10.3 EIA NATURAL GAS STORAGE
**Fonte:** EIA
**Divulgação:** Toda quinta-feira, 10h30 ET
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Injection MAIOR** | Mais gás estocado → preço cai | ⚪ | ⚪ | ⚪ | ⚪ | 🐢 |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Draw/Injection MENOR** | Menos gás → preço sobe | ⚪ | ⚪ | ⚪ | ⚪ | 🐢 |

---

## 10.4 BAKER HUGHES RIG COUNT
**Fonte:** Baker Hughes
**Divulgação:** Toda sexta-feira, 13h00 ET
**Impacto:** ⚡ BAIXO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Rigs SUBINDO** | Produção futura aumenta → bearish oil | ⚪ | ⚪ | ⚪ | ⚪ | 🐢 |
| **Rigs ESTÁVEL** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Rigs CAINDO** | Produção futura cai → bullish oil | ⚪ | ⚪ | ⚪ | ⚪ | 🐢 |

---

# 11. CRÉDITO E CONDIÇÕES FINANCEIRAS

## 11.1 CHICAGO FED FINANCIAL CONDITIONS INDEX
**Fonte:** Chicago Fed
**Divulgação:** Toda quarta-feira, 8h30 ET
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Mais APERTADO (subindo)** | Condições financeiras restritivas | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🐢 |
| **ESTÁVEL** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Mais FROUXO (caindo)** | Condições financeiras frouxas | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🐢 |

### Observações do Scalper:
- 0 = média histórica
- Negativo = frouxo, positivo = apertado
- Usado para contexto, não para trade direto

---

## 11.2 ST. LOUIS FED FINANCIAL STRESS INDEX
**Fonte:** St. Louis Fed
**Divulgação:** Toda sexta-feira
**Impacto:** ⚡ BAIXO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **SUBINDO** | Stress financeiro aumentando | 🔵 Safe haven | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🐢 |
| **ESTÁVEL** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **CAINDO** | Stress diminuindo | 🟠 Risk-on | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🐢 |

---

# 12. DADOS DE ALTA FREQUÊNCIA

## 12.1 REDBOOK RETAIL SALES
**Fonte:** Redbook Research
**Divulgação:** Toda terça-feira, 8h55 ET
**Impacto:** ⚡ BAIXO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Acelerando** | Varejo semanal forte | ⚪ | ⚪/🔵 leve | ⚪ | ⚪/🔵 leve | 🐢 Viés |
| **Estável** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Desacelerando** | Varejo semanal fraco | ⚪ | ⚪/🟠 leve | ⚪ | ⚪/🟠 leve | 🐢 Viés |

---

# RESUMO EXECUTIVO: RANKING DE IMPACTO

## ⚡⚡⚡ MUITO ALTO (Operar com atenção máxima)

| # | Dado | Horário (ET) | Frequência |
|---|------|--------------|------------|
| 1 | **FOMC Decision + Statement + Powell** | 14h00-15h00 | 8x/ano |
| 2 | **Nonfarm Payrolls** | 8h30 | Mensal |
| 3 | **CPI / Core CPI** | 8h30 | Mensal |
| 4 | **PCE / Core PCE** | 8h30 | Mensal |
| 5 | **GDP (Advance)** | 8h30 | Trimestral |
| 6 | **Dot Plot / SEP** | 14h00 | 4x/ano |
| 7 | **Retail Sales (Control Group)** | 8h30 | Mensal |
| 8 | **ISM Manufacturing** | 10h00 | Mensal |
| 9 | **ISM Services** | 10h00 | Mensal |

## ⚡⚡ ALTO (Bons trades de scalp)

| # | Dado | Horário (ET) | Frequência |
|---|------|--------------|------------|
| 10 | **FOMC Minutes** | 14h00 | 8x/ano |
| 11 | **PPI / Core PPI** | 8h30 | Mensal |
| 12 | **JOLTS** | 10h00 | Mensal |
| 13 | **Initial Jobless Claims** | 8h30 | Semanal |
| 14 | **Consumer Confidence** | 10h00 | Mensal |
| 15 | **Michigan Sentiment** | 10h00 | Mensal |
| 16 | **Durable Goods / Core Capital Goods** | 8h30 | Mensal |
| 17 | **Housing Starts / Building Permits** | 8h30 | Mensal |
| 18 | **Existing Home Sales** | 10h00 | Mensal |
| 19 | **ADP Employment** | 8h15 | Mensal |
| 20 | **Flash PMIs (S&P Global)** | 9h45 | Mensal |
| 21 | **Empire State / Philly Fed** | 8h30 | Mensal |
| 22 | **Employment Cost Index** | 8h30 | Trimestral |
| 23 | **Beige Book** | 14h00 | 8x/ano |
| 24 | **Treasury Refunding** | Variável | Trimestral |
| 25 | **SLOOS** | Variável | Trimestral |

## ⚡ MÉDIO (Trades menores, seletivo)

| # | Dado | Horário (ET) | Frequência |
|---|------|--------------|------------|
| 26 | **New Home Sales** | 10h00 | Mensal |
| 27 | **Pending Home Sales** | 10h00 | Mensal |
| 28 | **Case-Shiller** | 9h00 | Mensal |
| 29 | **Personal Income/Spending** | 8h30 | Mensal |
| 30 | **Industrial Production** | 9h15 | Mensal |
| 31 | **Trade Balance** | 8h30 | Mensal |
| 32 | **Chicago PMI** | 9h45 | Mensal |
| 33 | **NAHB Housing Index** | 10h00 | Mensal |
| 34 | **EIA Crude Inventories** | 10h30 | Semanal |
| 35 | **Leading Economic Index** | 10h00 | Mensal |
| 36 | **Fed Speeches (Powell, Waller, Williams)** | Variável | Irregular |
| 37 | **NFIB Small Business** | 6h00 | Mensal |
| 38 | **NY Fed Inflation Expectations** | 11h00 | Mensal |
| 39 | **Treasury Budget** | 14h00 | Mensal |
| 40 | **TIC Data** | 16h00 | Mensal |

## 🐢 BAIXO (Contexto, não operar no dado)

| # | Dado |
|---|------|
| 41 | Regional Fed Surveys (Dallas, Richmond, Kansas City) |
| 42 | Factory Orders |
| 43 | Business Inventories |
| 44 | Construction Spending |
| 45 | Consumer Credit |
| 46 | Import/Export Prices |
| 47 | Challenger Job Cuts |
| 48 | Continuing Claims (isolado) |
| 49 | MBA Mortgage Applications |
| 50 | Vehicle Sales |
| 51 | FHFA House Price |
| 52 | Baker Hughes Rig Count |
| 53 | Natural Gas Storage |
| 54 | Redbook |
| 55 | Financial Conditions Indices |

---

# CALENDÁRIO SEMANAL TÍPICO (EUA)

## SEMANA DO PAYROLL (1ª semana do mês)

| Dia | Horário (ET) | Dado | Impacto |
|-----|--------------|------|---------|
| **Segunda** | 10h00 | ISM Manufacturing | ⚡⚡⚡ |
| **Terça** | 10h00 | JOLTS, Factory Orders | ⚡⚡/⚡ |
| **Quarta** | 8h15 | ADP Employment | ⚡⚡ |
| | 10h00 | ISM Services | ⚡⚡⚡ |
| | 8h30 | Trade Balance | ⚡ |
| **Quinta** | 8h30 | Initial Claims | ⚡⚡ |
| **Sexta** | 8h30 | **NONFARM PAYROLLS** | ⚡⚡⚡ |

## SEMANA DO CPI (2ª semana do mês)

| Dia | Horário (ET) | Dado | Impacto |
|-----|--------------|------|---------|
| **Segunda** | - | - | - |
| **Terça** | 6h00 | NFIB Small Business | ⚡ |
| **Quarta** | 8h30 | **CPI / Core CPI** | ⚡⚡⚡ |
| **Quinta** | 8h30 | **PPI / Core PPI** | ⚡⚡ |
| | 8h30 | Initial Claims | ⚡⚡ |
| **Sexta** | 8h30 | Import/Export Prices | ⚡ |
| | 10h00 | Michigan Sentiment (Prelim) | ⚡⚡ |

## SEMANA DO RETAIL (3ª semana do mês)

| Dia | Horário (ET) | Dado | Impacto |
|-----|--------------|------|---------|
| **Segunda** | 8h30 | Empire State Manufacturing | ⚡ |
| **Terça** | 8h30 | **Retail Sales** | ⚡⚡⚡ |
| | 9h15 | Industrial Production | ⚡ |
| **Quarta** | 8h30 | Housing Starts/Permits | ⚡⚡ |
| | 14h00 | **FOMC (se houver)** | ⚡⚡⚡ |
| **Quinta** | 8h30 | Philly Fed Manufacturing | ⚡⚡ |
| | 8h30 | Initial Claims | ⚡⚡ |
| | 10h00 | Existing Home Sales | ⚡⚡ |
| **Sexta** | 9h45 | Flash PMIs (S&P Global) | ⚡⚡ |
| | 10h00 | Leading Economic Index | ⚡ |

## SEMANA DO PCE (4ª semana do mês)

| Dia | Horário (ET) | Dado | Impacto |
|-----|--------------|------|---------|
| **Segunda** | 8h30 | Chicago Fed (CFNAI) | ⚡ |
| **Terça** | 9h00 | Case-Shiller | ⚡ |
| | 10h00 | Consumer Confidence | ⚡⚡ |
| | 10h00 | Richmond Fed | ⚡ |
| **Quarta** | 10h00 | New Home Sales | ⚡⚡ |
| **Quinta** | 8h30 | **GDP (se for mês de release)** | ⚡⚡⚡ |
| | 8h30 | Durable Goods | ⚡⚡ |
| | 8h30 | Initial Claims | ⚡⚡ |
| | 10h00 | Pending Home Sales | ⚡ |
| **Sexta** | 8h30 | **PCE / Core PCE** | ⚡⚡⚡ |
| | 8h30 | Personal Income/Spending | ⚡⚡ |
| | 10h00 | Michigan Sentiment (Final) | ⚡⚡ |

---

# DICAS PRÁTICAS DO SCALPER MACRO (EUA)

## Antes do dado:
- [ ] Verificar consenso (Bloomberg, Investing.com, ForexFactory)
- [ ] Ver dado anterior e se teve revisão
- [ ] Verificar se tem dado brasileiro no mesmo horário
- [ ] Identificar componentes importantes (Core vs Headline)
- [ ] Definir stops mais largos para dados ⚡⚡⚡
- [ ] Reduzir posição se estiver contra tendência

## No momento do dado:
- [ ] **NÃO entrar antes do dado** (slippage, spread alargado)
- [ ] Esperar 2-3 velas de 1 min para confirmar
- [ ] Se dado ambíguo (headline vs core divergem), esperar mais
- [ ] Verificar se movimento é consistente DXY/ES/Yields

## Depois do dado:
- [ ] Primeira reação pode reverter em 5-15 min
- [ ] Se veio muito forte em uma direção, pode ter follow-through
- [ ] Fed Speeches podem mudar narrativa ao longo do dia
- [ ] Se teve FOMC/Payroll, movimento pode durar dias

## Combinações perigosas (EVITAR ou reduzir size):
- NFP + dado brasileiro no mesmo dia
- CPI + PPI no mesmo período (pode ter ruído)
- FOMC + Treasury Auction na mesma semana
- Payroll sexta + FOMC quarta (semana muito volátil)
- Dado importante + feriado prolongado

## Conversão de horários:

| Horário ET | Horário BRT (verão EUA) | Horário BRT (inverno EUA) |
|------------|-------------------------|---------------------------|
| 6h00 | 7h00 | 8h00 |
| 8h15 | 9h15 | 10h15 |
| 8h30 | 9h30 | 10h30 |
| 9h00 | 10h00 | 11h00 |
| 9h15 | 10h15 | 11h15 |
| 9h45 | 10h45 | 11h45 |
| 10h00 | 11h00 | 12h00 |
| 10h30 | 11h30 | 12h30 |
| 14h00 | 15h00 | 16h00 |
| 14h30 | 15h30 | 16h30 |
| 16h00 | 17h00 | 18h00 |

---

# MATRIZ DE REAÇÃO CRUZADA

## Quando dados conflitam:

| Cenário | Interpretação | Reação Dominante |
|---------|---------------|------------------|
| NFP forte + Wages fracos | Emprego sem pressão salarial | Moderadamente hawkish → DXY leve compra |
| NFP fraco + Wages fortes | Menos emprego mas inflação salarial | Confuso → esperar |
| CPI alto + Retail fraco | Inflação mas consumo caindo | Stagflation fears → Risk-off |
| CPI baixo + Retail forte | Consumo sem inflação | Goldilocks → S&P compra, DXY venda |
| ISM forte + Claims subindo | Atividade forte mas demissões | Aguardar clareza |
| GDP forte + PCE fraco | Crescimento sem inflação | Goldilocks → S&P compra forte |
| GDP fraco + PCE forte | Stagflation | Risk-off → S&P venda, DXY inicialmente compra |

---

*Tabela elaborada para scalpers de WDO e WIN com foco em reação a dados macroeconômicos dos EUA. Horários em Eastern Time (ET). Revisar e adaptar conforme contexto de mercado, correlações vigentes e apetite a risco.*
